Contract_Account_No,Customer,House_Number,Address,Meter_Number,Datetime_PST,Meter_kWh_Total,Transformer_ID,Structure_ID,Transformer_kWh_Total
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,03Feb2024:13:59:59.97,0,26730028,7556,10.75
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,03Feb2024:15:00:00.00,0,26730028,7556,14.84
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,03Feb2024:16:00:00.02,0,26730028,7556,13.82
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,03Feb2024:16:59:59.97,0.02,26730028,7556,14.53
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,03Feb2024:18:00:00.00,0.04,26730028,7556,16.46
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,03Feb2024:19:00:00.02,0.05,26730028,7556,18.04
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,03Feb2024:19:59:59.97,0.05,26730028,7556,12.81
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,03Feb2024:21:00:00.00,0.04,26730028,7556,11.81
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,03Feb2024:22:00:00.02,0.05,26730028,7556,12.53
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,03Feb2024:22:59:59.97,0.05,26730028,7556,11.63
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,04Feb2024:00:00:00.00,0.05,26730028,7556,10.03
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,04Feb2024:01:00:00.02,0.04,26730028,7556,8.06
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,04Feb2024:01:59:59.97,0.05,26730028,7556,7.24
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,04Feb2024:03:00:00.00,0.05,26730028,7556,6.11
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,04Feb2024:04:00:00.02,0.05,26730028,7556,6.69
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,04Feb2024:04:59:59.97,0.05,26730028,7556,6.25
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,04Feb2024:06:00:00.00,0.05,26730028,7556,7.55
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,04Feb2024:07:00:00.02,0.05,26730028,7556,9.36
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,04Feb2024:07:59:59.97,0.05,26730028,7556,10.58
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,04Feb2024:09:00:00.00,0.04,26730028,7556,10.84
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,04Feb2024:10:00:00.02,0,26730028,7556,12
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,04Feb2024:10:59:59.97,0,26730028,7556,9.96
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,04Feb2024:12:00:00.00,0,26730028,7556,8.24
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,04Feb2024:13:00:00.02,0,26730028,7556,9.41
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,04Feb2024:13:59:59.97,0,26730028,7556,10.03
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,04Feb2024:15:00:00.00,0,26730028,7556,16.22
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,04Feb2024:16:00:00.02,0,26730028,7556,17.14
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,04Feb2024:16:59:59.97,0.01,26730028,7556,16.35
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,04Feb2024:18:00:00.00,0.05,26730028,7556,24.84
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,04Feb2024:19:00:00.02,0.04,26730028,7556,18.01
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,04Feb2024:19:59:59.97,0.05,26730028,7556,13.37
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,04Feb2024:21:00:00.00,0.05,26730028,7556,12.97
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,04Feb2024:22:00:00.02,0.05,26730028,7556,12.24
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,04Feb2024:22:59:59.97,0.05,26730028,7556,11.02
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,05Feb2024:00:00:00.00,0.05,26730028,7556,10.89
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,05Feb2024:01:00:00.02,0.04,26730028,7556,7.98
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,05Feb2024:01:59:59.97,0.05,26730028,7556,7.64
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,05Feb2024:03:00:00.00,0.05,26730028,7556,7.42
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,05Feb2024:04:00:00.02,0.05,26730028,7556,6.75
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,05Feb2024:04:59:59.97,0.05,26730028,7556,7.83
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,05Feb2024:06:00:00.00,0.05,26730028,7556,9.58
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,05Feb2024:07:00:00.02,0.05,26730028,7556,10.4
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,05Feb2024:07:59:59.97,0.05,26730028,7556,11.52
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,05Feb2024:09:00:00.00,0.05,26730028,7556,13.19
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,05Feb2024:10:00:00.02,0,26730028,7556,15.02
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,05Feb2024:10:59:59.97,0,26730028,7556,11.83
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,05Feb2024:12:00:00.00,0,26730028,7556,12.91
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,05Feb2024:13:00:00.02,0,26730028,7556,14.81
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,05Feb2024:13:59:59.97,0,26730028,7556,14.28
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,05Feb2024:15:00:00.00,0,26730028,7556,10.74
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,05Feb2024:16:00:00.02,0,26730028,7556,14.48
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,05Feb2024:16:59:59.97,0.02,26730028,7556,13.86
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,05Feb2024:18:00:00.00,0.05,26730028,7556,21.38
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,05Feb2024:19:00:00.02,0.05,26730028,7556,15.32
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,05Feb2024:19:59:59.97,0.05,26730028,7556,14.89
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,05Feb2024:21:00:00.00,0.04,26730028,7556,13.26
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,05Feb2024:22:00:00.02,0.05,26730028,7556,10.21
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,05Feb2024:22:59:59.97,0.05,26730028,7556,9.21
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,06Feb2024:00:00:00.00,0.05,26730028,7556,7.68
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,06Feb2024:01:00:00.02,0.05,26730028,7556,6.6
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,06Feb2024:01:59:59.97,0.05,26730028,7556,5.94
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,06Feb2024:03:00:00.00,0.05,26730028,7556,5.48
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,06Feb2024:04:00:00.02,0.05,26730028,7556,5.68
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,06Feb2024:04:59:59.97,0.05,26730028,7556,5.97
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,06Feb2024:06:00:00.00,0.05,26730028,7556,8.89
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,06Feb2024:07:00:00.02,0.04,26730028,7556,9.18
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,06Feb2024:07:59:59.97,0.05,26730028,7556,11.68
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,06Feb2024:09:00:00.00,0.05,26730028,7556,12.87
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,06Feb2024:10:00:00.02,0.02,26730028,7556,10.36
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,06Feb2024:10:59:59.97,0,26730028,7556,9.91
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,06Feb2024:12:00:00.00,0,26730028,7556,10.02
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,06Feb2024:13:00:00.02,0,26730028,7556,9.57
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,06Feb2024:13:59:59.97,0,26730028,7556,10.46
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,06Feb2024:15:00:00.00,0,26730028,7556,11.28
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,06Feb2024:16:00:00.02,0,26730028,7556,9.82
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,06Feb2024:16:59:59.97,0.01,26730028,7556,12.39
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,06Feb2024:18:00:00.00,0.05,26730028,7556,17.22
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,06Feb2024:19:00:00.02,0.05,26730028,7556,15.28
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,06Feb2024:19:59:59.97,0.05,26730028,7556,14.61
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,06Feb2024:21:00:00.00,0.05,26730028,7556,14.44
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,06Feb2024:22:00:00.02,0.05,26730028,7556,14.06
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,06Feb2024:22:59:59.97,0.04,26730028,7556,11
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,07Feb2024:00:00:00.00,0.05,26730028,7556,9.55
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,07Feb2024:01:00:00.02,0.05,26730028,7556,8.16
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,07Feb2024:01:59:59.97,0.05,26730028,7556,8.71
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,07Feb2024:03:00:00.00,0.05,26730028,7556,8.61
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,07Feb2024:04:00:00.02,0.05,26730028,7556,7.73
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,07Feb2024:04:59:59.97,0.05,26730028,7556,7.98
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,07Feb2024:06:00:00.00,0.05,26730028,7556,10.17
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,07Feb2024:07:00:00.02,0.05,26730028,7556,12.26
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,07Feb2024:07:59:59.97,0.05,26730028,7556,15.96
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,07Feb2024:09:00:00.00,0.03,26730028,7556,14.28
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,07Feb2024:10:00:00.02,0,26730028,7556,12.12
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,07Feb2024:10:59:59.97,0,26730028,7556,10.82
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,07Feb2024:12:00:00.00,0,26730028,7556,11.61
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,07Feb2024:13:00:00.02,0,26730028,7556,10.3
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,07Feb2024:13:59:59.97,0,26730028,7556,13.32
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,07Feb2024:15:00:00.00,0,26730028,7556,10.56
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,07Feb2024:16:00:00.02,0,26730028,7556,10.15
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,07Feb2024:16:59:59.97,0.01,26730028,7556,12.57
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,07Feb2024:18:00:00.00,0.05,26730028,7556,16.16
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,07Feb2024:19:00:00.02,0.05,26730028,7556,14.28
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,07Feb2024:19:59:59.97,0.05,26730028,7556,18.35
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,07Feb2024:21:00:00.00,0.04,26730028,7556,15.47
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,07Feb2024:22:00:00.02,0.05,26730028,7556,14.99
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,07Feb2024:22:59:59.97,0.05,26730028,7556,15.98
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,08Feb2024:00:00:00.00,0.05,26730028,7556,9.93
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,08Feb2024:01:00:00.02,0.05,26730028,7556,8.47
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,08Feb2024:01:59:59.97,0.05,26730028,7556,7.5
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,08Feb2024:03:00:00.00,0.05,26730028,7556,7.35
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,08Feb2024:04:00:00.02,0.05,26730028,7556,7.19
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,08Feb2024:04:59:59.97,0.05,26730028,7556,6.19
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,08Feb2024:06:00:00.00,0.05,26730028,7556,8.87
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,08Feb2024:07:00:00.02,0.04,26730028,7556,9.63
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,08Feb2024:07:59:59.97,0.05,26730028,7556,14.22
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,08Feb2024:09:00:00.00,0.05,26730028,7556,13.62
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,08Feb2024:10:00:00.02,0,26730028,7556,12.29
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,08Feb2024:10:59:59.97,0,26730028,7556,11.65
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,08Feb2024:12:00:00.00,0,26730028,7556,12.23
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,08Feb2024:13:00:00.02,0,26730028,7556,10.03
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,08Feb2024:13:59:59.97,0,26730028,7556,9.96
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,08Feb2024:15:00:00.00,0,26730028,7556,10.09
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,08Feb2024:16:00:00.02,0,26730028,7556,12.63
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,08Feb2024:16:59:59.97,0,26730028,7556,16.03
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,08Feb2024:18:00:00.00,0.05,26730028,7556,25.21
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,08Feb2024:19:00:00.02,0.05,26730028,7556,17.13
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,08Feb2024:19:59:59.97,0.05,26730028,7556,13.62
